PeakID (cmd=annotatePeaks.pl filtered_anova.tsv mm10 -go filtered_anova_anno_go -annStats filtered_anova_anno.stats)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-46	chr1	88258662	88258661	-	0.705882352941177	NA	TTS (NM_198652)	TTS (NM_198652)	10747	NR_040291	78605		NR_040291		6430706D22Rik	-	RIKEN cDNA 6430706D22 gene	ncRNA
1-579	chr5	95249047	95249046	-	0.7	NA	intron (NM_001378727, intron 1 of 5)	L1Md_A|LINE|L1	6645	NM_001378727	624049		NM_001378727		Gm6468	EG624049	predicted gene 6468	protein-coding
1-337	chr3	106177566	106177565	-	0.7	NA	Intergenic	L1Md_F2|LINE|L1	-10001	NM_009892	12655		NM_009892	ENSMUSG00000040809	Chil3	Chi3l3|ECF-L|Ym1	chitinase-like 3	protein-coding
1-570	chr5	93662484	93662483	+	0.7	NA	intron (NM_001164284, intron 3 of 5)	intron (NM_001164284, intron 3 of 5)	9026	NM_001164284	381654		NM_001164284	ENSMUSG00000070686	Pramel34	-	PRAME like 34	protein-coding
1-367	chr4	95511578	95511577	+	0.7	NA	Intergenic	L1Md_A|LINE|L1	-45930	NM_001113412	75578		NM_029347	ENSMUSG00000028573	Fggy	2310009E04Rik	FGGY carbohydrate kinase domain containing	protein-coding
1-571	chr5	93662485	93662484	-	0.7	NA	intron (NM_001164284, intron 3 of 5)	intron (NM_001164284, intron 3 of 5)	9025	NM_001164284	381654		NM_001164284	ENSMUSG00000070686	Pramel34	-	PRAME like 34	protein-coding
1-733	chrY	90807787	90807786	-	0.7	NA	intron (NR_137282, intron 2 of 2)	intron (NR_137282, intron 2 of 2)	22344	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
1-277	chr17	13549682	13549681	+	0.7	NA	intron (NR_045436, intron 1 of 4)	intron (NR_045436, intron 1 of 4)	4413	NR_045437	72578		NR_045436	ENSMUSG00000117042	2700054A10Rik	-	RIKEN cDNA 2700054A10 gene	ncRNA
1-624	chr7	15533964	15533963	+	0.7	NA	Intergenic	Lx2B2|LINE|L1	-13294	NM_027802	71468		NM_027802	ENSMUSG00000054310	Obox1	7420700M11Rik	oocyte specific homeobox 1	protein-coding
1-514	chr5	15473045	15473044	+	0.7	NA	exon (NM_001374725, exon 4 of 5)	exon (NM_001374725, exon 4 of 5)	3492	NM_001374725	100861702		NM_001374725	ENSMUSG00000099762	Gm21149	-	predicted gene, 21149	protein-coding
1-553	chr5	15691106	15691105	-	0.7	NA	intron (NR_001585, intron 1 of 4)	intron (NR_001585, intron 1 of 4)	10395	NR_001585	75858		NR_001585	ENSMUSG00000089871	Speer4cos	4930568L21Rik|SPEER-7|Speer7-ps|Speer7-ps1	spermatogenesis associated glutamate (E)-rich protein 4C, opposite strand transcript	pseudo
1-357	chr4	6455698	6455697	-	0.7	NA	Intergenic	Intergenic	-1426	NM_010945	18201		NM_010945	ENSMUSG00000028245	Nsmaf	C630007J05|Fan	neutral sphingomyelinase (N-SMase) activation associated factor	protein-coding
1-292	chr18	3012586	3012585	-	0.692307692307692	NA	Intergenic	Intergenic	110827	NM_001167539	100312476		NM_001167539	ENSMUSG00000091539	Vmn1r238	-	vomeronasal 1 receptor, 238	protein-coding
1-465	chr5	14979822	14979821	+	0.692307692307692	NA	promoter-TSS (NM_001281514)	promoter-TSS (NM_001281514)	-922	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-653	chr8	19713466	19713465	-	0.692307692307692	NA	Intergenic	URR1A|DNA|hAT-Charlie	-16111	NM_001270553	100861668		NM_001270553	ENSMUSG00000095294	Potefam3b	Gm21119|Pote3b	POTE ankyrin domain family member 3B	protein-coding
1-245	chr16	42316337	42316336	-	0.692307692307692	NA	intron (NM_008083, intron 1 of 2)	intron (NM_008083, intron 1 of 2)	-12867	NR_105858	102466172		NR_105858	ENSMUSG00000098300	Mir6540	Gm27780|mir-6540|mmu-mir-6540	microRNA 6540	ncRNA
1-430	chr4	147402022	147402021	-	0.692307692307692	NA	Intergenic	RLTR10|LTR|ERVK	-41093	NM_001371348	195531		NM_001039209	ENSMUSG00000078496	Zfp982	Gm13152	zinc finger protein 982	protein-coding
1-419	chr4	147275385	147275384	-	0.692307692307692	NA	intron (NM_001378742, intron 1 of 4)	CpG	-30220	NM_001384232	115489950		NM_001384232	ENSMUSG00000078498	Zfp988	Gm13151	zinc finger protein 988	protein-coding
1-728	chrY	90803697	90803696	-	0.689655172413793	NA	intron (NR_137282, intron 2 of 2)	intron (NR_137282, intron 2 of 2)	18254	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
1-743	chrY	90808878	90808877	+	0.688888888888889	NA	intron (NR_137282, intron 2 of 2)	intron (NR_137282, intron 2 of 2)	23435	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
1-388	chr4	146065222	146065221	+	0.6875	NA	Intergenic	Intergenic	-2303	NR_030771	627585		NM_001039233		Gm13034	-	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 pseudogene	pseudo
1-627	chr7	22872995	22872994	-	0.6875	NA	TTS (NM_001166724)	TTS (NM_001166724)	1770	NM_001166724	620758		NM_001166724	ENSMUSG00000094931	Vmn1r160	Gm6178	vomeronasal 1 receptor 160	protein-coding
1-621	chr7	15397146	15397145	+	0.6875	NA	intron (NM_145708, intron 2 of 3)	intron (NM_145708, intron 2 of 3)	8294	NM_145708	246792		NM_145708	ENSMUSG00000074369	Obox2	-	oocyte specific homeobox 2	protein-coding
1-416	chr4	147258757	147258756	-	0.6875	NA	intron (NM_001378742, intron 1 of 4)	MMSAT4|Satellite|Satellite	-46848	NM_001384232	115489950		NM_001384232	ENSMUSG00000078498	Zfp988	Gm13151	zinc finger protein 988	protein-coding
1-63	chr1	88276897	88276896	-	0.6875	NA	intron (NM_172505, intron 2 of 4)	intron (NM_172505, intron 2 of 4)	661	NM_172505	212427		NM_172505		A730008H23Rik	Fleg1	RIKEN cDNA A730008H23 gene	protein-coding
1-22	chr1	85286206	85286205	-	0.682926829268293	NA	intron (NM_001378664, intron 1 of 1)	intron (NM_001378664, intron 1 of 1)	11569	NM_001378696	102633783		NM_001378696	ENSMUSG00000094874	LOC102633783	-	sp110 nuclear body protein-like	protein-coding
1-53	chr1	88259485	88259484	-	0.680851063829787	NA	3' UTR (NM_198652, exon 8 of 8)	3' UTR (NM_198652, exon 8 of 8)	9924	NR_040291	78605		NR_040291		6430706D22Rik	-	RIKEN cDNA 6430706D22 gene	ncRNA
1-406	chr4	146718581	146718580	-	0.68	NA	Intergenic	MMSAT4|Satellite|Satellite	-171707	NR_045468	67524		NR_045468	ENSMUSG00000086046	1700095A21Rik	-	RIKEN cDNA 1700095A21 gene	ncRNA
1-551	chr5	15689589	15689588	+	0.676470588235294	NA	intron (NR_001585, intron 1 of 4)	Lx7|LINE|L1	8878	NR_001585	75858		NR_001585	ENSMUSG00000089871	Speer4cos	4930568L21Rik|SPEER-7|Speer7-ps|Speer7-ps1	spermatogenesis associated glutamate (E)-rich protein 4C, opposite strand transcript	pseudo
1-20	chr1	85251195	85251194	+	0.675675675675676	NA	intron (NM_001037909, intron 5 of 6)	intron (NM_001037909, intron 5 of 6)	19372	NM_001037909	620078		NM_175219	ENSMUSG00000052477	Sp140l2	4930565N07Rik|C130026I21Rik	Sp140 nuclear body protein like 2	protein-coding
1-673	chr9	3009882	3009881	+	0.673469387755102	NA	Intergenic	GSAT_MM|Satellite|Satellite	28862	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA
1-360	chr4	60265747	60265746	+	0.666666666666667	NA	Intergenic	L1_Mus3|LINE|L1	-43206	NM_001347131	100041687		NM_001134676	ENSMUSG00000078687	Mup8	Gm12809|Mup5	major urinary protein 8	protein-coding
1-690	chrX	31736986	31736985	+	0.666666666666667	NA	Intergenic	L1Md_F2|LINE|L1	-225059	NM_029106	74851		NM_029106		Spin2-ps1	Gm14354	spindlin family, member 2, pseudogene 1	protein-coding
1-585	chr5	145652717	145652716	-	0.666666666666667	NA	Intergenic	RLTR45|LTR|ERVK	67420	NM_017396	53973		NM_017396	ENSMUSG00000075551	Cyp3a41a	Cyp3a41	cytochrome P450, family 3, subfamily a, polypeptide 41A	protein-coding
1-138	chr11	47311014	47311013	-	0.666666666666667	NA	intron (NM_011891, intron 2 of 7)	intron (NM_011891, intron 2 of 7)	68312	NM_011891	24052		NM_011891	ENSMUSG00000020354	Sgcd	35DAG|A530047J11Rik|SG-delta|delta-SG	sarcoglycan, delta (dystrophin-associated glycoprotein)	protein-coding
1-667	chr8	20591114	20591113	+	0.666666666666667	NA	Intergenic	Intergenic	-23814	NM_001270553	100861668		NM_001270553	ENSMUSG00000095294	Potefam3b	Gm21119|Pote3b	POTE ankyrin domain family member 3B	protein-coding
1-273	chr17	13439072	13439071	-	0.666666666666667	NA	Intergenic	Intergenic	-82385	NR_030763	272667		NR_030763	ENSMUSG00000121414	Smok4a	4930513D10Rik|Smok2c	sperm motility kinase 4A	pseudo
1-467	chr5	14989823	14989822	+	0.666666666666667	NA	Intergenic	MTEa|LTR|ERVL-MaLR	-10923	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-651	chr8	19705797	19705796	-	0.666666666666667	NA	Intergenic	Intergenic	-23780	NM_001270553	100861668		NM_001270553	ENSMUSG00000095294	Potefam3b	Gm21119|Pote3b	POTE ankyrin domain family member 3B	protein-coding
1-412	chr4	147219613	147219612	+	0.666666666666667	NA	intron (NM_001378742, intron 1 of 4)	MuLV-int|LTR|ERV1	-85992	NM_001384232	115489950		NM_001384232	ENSMUSG00000078498	Zfp988	Gm13151	zinc finger protein 988	protein-coding
1-304	chr19	40119798	40119797	-	0.666666666666667	NA	Intergenic	Lx2|LINE|L1	30118	NM_001167875	107141		NM_134144	ENSMUSG00000054827	Cyp2c50	-	cytochrome P450, family 2, subfamily c, polypeptide 50	protein-coding
1-734	chrY	90807807	90807806	+	0.658536585365854	NA	intron (NR_137282, intron 2 of 2)	intron (NR_137282, intron 2 of 2)	22364	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
1-727	chrY	90800779	90800778	-	0.656716417910448	NA	intron (NR_137282, intron 2 of 2)	intron (NR_137282, intron 2 of 2)	15336	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
1-255	chr17	3082613	3082612	-	0.652173913043478	NA	intron (NR_003519, intron 1 of 7)	intron (NR_003519, intron 1 of 7)	1571	NR_003519	328734		NR_003519		Pisd-ps2	D030013I16Rik	phosphatidylserine decarboxylase, pseudogene 2	pseudo
1-689	chrX	31731714	31731713	-	0.647058823529412	NA	Intergenic	Intergenic	-230331	NM_029106	74851		NM_029106		Spin2-ps1	Gm14354	spindlin family, member 2, pseudogene 1	protein-coding
1-62	chr1	88276777	88276776	+	0.647058823529412	NA	intron (NM_172505, intron 2 of 4)	intron (NM_172505, intron 2 of 4)	781	NM_172505	212427		NM_172505		A730008H23Rik	Fleg1	RIKEN cDNA A730008H23 gene	protein-coding
1-13	chr1	85109393	85109392	+	0.647058823529412	NA	5' UTR (NM_213615, exon 1 of 7)	5' UTR (NM_213615, exon 1 of 7)	461	NM_213615	381287		NM_213615	ENSMUSG00000089844	Sp140l1	A530032D15Rik|Gm1888	Sp140 nuclear body protein like 1	protein-coding
1-49	chr1	88258965	88258964	-	0.644444444444444	NA	3' UTR (NM_198652, exon 8 of 8)	3' UTR (NM_198652, exon 8 of 8)	10444	NR_040291	78605		NR_040291		6430706D22Rik	-	RIKEN cDNA 6430706D22 gene	ncRNA
1-64	chr1	88279556	88279555	+	0.642857142857143	NA	Intergenic	Intergenic	-1976	NM_198652	381280		NM_198652	ENSMUSG00000044783	Hjurp	6430706D22Rik|A730008H23Rik|C330011F01Rik|Gm975|Mfleg1	Holliday junction recognition protein	protein-coding
1-78	chr1	107629024	107629023	+	0.642857142857143	NA	Intergenic	L1Md_T|LINE|L1	39017	NM_011459	20725		NM_011459	ENSMUSG00000026315	Serpinb8	CAP-2|CAP2|NK10|Spi8|ovalbumin	serine (or cysteine) peptidase inhibitor, clade B, member 8	protein-coding
1-143	chr12	20231223	20231222	+	0.642857142857143	NA	Intergenic	MMERGLN-int|LTR|ERV1	584557	NR_015521	69513		NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA
1-374	chr4	145669686	145669685	-	0.642857142857143	NA	Intergenic	Intergenic	-1012	NM_001103158	100041379		NM_001103158	ENSMUSG00000058186	Zfp980	Gm13242	zinc finger protein 980	protein-coding
1-178	chr13	13236844	13236843	-	0.642857142857143	NA	Intergenic	Lx9|LINE|L1	54127	NM_001311129	107849		NM_181852	ENSMUSG00000055360	Prl2c5	Ghd3|MRP-4|Mrpplf4|PLF-4	prolactin family 2, subfamily c, member 5	protein-coding
1-140	chr11	99155430	99155429	-	0.642857142857143	NA	promoter-TSS (NM_007719)	promoter-TSS (NM_007719)	-352	NM_001301713	12775		NM_007719	ENSMUSG00000037944	Ccr7	CC-CKR-7|CCR-7|CD197|Cdw197|Cmkbr7|EBI1|Ebi1h	C-C motif chemokine receptor 7	protein-coding
1-222	chr14	123193726	123193725	-	0.642857142857143	NA	Intergenic	Intergenic	24539	NR_045144	380934		NR_045143	ENSMUSG00000115016	AA536875	Gm1591	expressed sequence AA536875	ncRNA
1-394	chr4	146242263	146242262	+	0.64	NA	Intergenic	Intergenic	-28123	NM_001083918	666532		NM_001083918	ENSMUSG00000067916	Zfp991	Gm13139	zinc finger protein 991	protein-coding
1-30	chr1	85537834	85537833	+	0.636363636363636	NA	Intergenic	B1_Mm|SINE|Alu	-6982	NM_001378663	101055758		NM_001378663	ENSMUSG00000118607	Gm7592	EG665338	predicted gene 7592	protein-coding
1-578	chr5	95010693	95010692	+	0.636363636363636	NA	intron (NR_044992, intron 1 of 3)	RMER16-int|LTR|ERVK	22066	NR_044992	622894		NR_044992		Pramel59	EG622894|Gm6367	PRAME like 59	pseudo
1-568	chr5	88457269	88457268	+	0.636363636363636	NA	intron (NM_001303431, intron 2 of 10)	intron (NM_001303431, intron 2 of 10)	1277	NM_001303431	11698		NM_009664	ENSMUSG00000029288	Ambn	-	ameloblastin	protein-coding
1-171	chr13	12852075	12852074	+	0.636363636363636	NA	Intergenic	RMER16-int|LTR|ERVK	-51995	NM_011118	18812		NM_011118	ENSMUSG00000056457	Prl2c3	Ghd1|MRP-2|MRP-3|Mrpplf3|PLF-2|PLF-3|Plf2|Prl2c4|mrp/plf3	prolactin family 2, subfamily c, member 3	protein-coding
1-531	chr5	15594438	15594437	-	0.636363636363636	NA	Intergenic	L1Md_F2|LINE|L1	17144	NM_001310450	105242399		NM_001310450	ENSMUSG00000096878	Gm21083	-	predicted gene, 21083	protein-coding
1-739	chrY	90808580	90808579	-	0.634920634920635	NA	intron (NR_137282, intron 2 of 2)	L1_Mm|LINE|L1	23137	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
1-707	chrX	169979325	169979324	+	0.633333333333333	NA	promoter-TSS (NR_029457)	promoter-TSS (NR_029457)	-407	NR_029457	654820		NM_001039559	ENSMUSG00000072844	G530011O06Rik	-	RIKEN cDNA G530011O06 gene	ncRNA
1-97	chr10	62369116	62369115	-	0.631578947368421	NA	intron (NM_010438, intron 1 of 21)	MMETn-int|LTR|ERVK	6780	NR_168626	70162		NR_038038	ENSMUSG00000085347	Hk1os	2210417K05Rik|Gm40675	hexokinase 1, opposite strand	ncRNA
1-379	chr4	145837144	145837143	-	0.631578947368421	NA	promoter-TSS (NR_033612)	promoter-TSS (NR_033612)	-76	NR_033612	236069		NR_033612	ENSMUSG00000096233	Gm13238	-	carnitine deficiency-associated gene expressed in ventricle 3 pseudogene	pseudo
1-387	chr4	146057988	146057987	+	0.625	NA	Intergenic	MYSERV6-int|LTR|ERVK	-9537	NR_030771	627585		NM_001039233		Gm13034	-	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 pseudogene	pseudo
1-696	chrX	169979000	169978999	+	0.625	NA	promoter-TSS (NR_029457)	promoter-TSS (NR_029457)	-82	NR_029457	654820		NM_001039559	ENSMUSG00000072844	G530011O06Rik	-	RIKEN cDNA G530011O06 gene	ncRNA
1-724	chrY	90800717	90800716	-	0.625	NA	intron (NR_137282, intron 2 of 2)	intron (NR_137282, intron 2 of 2)	15274	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
1-623	chr7	15434657	15434656	-	0.625	NA	Intergenic	RLTR15|LTR|ERVK	45805	NM_145708	246792		NM_145708	ENSMUSG00000074369	Obox2	-	oocyte specific homeobox 2	protein-coding
1-52	chr1	88259320	88259319	-	0.625	NA	3' UTR (NM_198652, exon 8 of 8)	3' UTR (NM_198652, exon 8 of 8)	10089	NR_040291	78605		NR_040291		6430706D22Rik	-	RIKEN cDNA 6430706D22 gene	ncRNA
1-350	chr4	3050346	3050345	+	0.625	NA	Intergenic	Intergenic	-121738	NM_001167534	100312470		NM_001167534	ENSMUSG00000115072	Vmn1r2	Gm11776	vomeronasal 1 receptor 2	protein-coding
1-177	chr13	12963558	12963557	+	0.625	NA	Intergenic	L1Md_F2|LINE|L1	41836	NM_031191	18811		NM_031191	ENSMUSG00000079092	Prl2c2	Ghd2|MRP-1|PLF-1|Plf|Plf1	prolactin family 2, subfamily c, member 2	protein-coding
1-395	chr4	146428956	146428955	+	0.620689655172414	NA	intron (NM_001083918, intron 3 of 6)	intron (NM_001083918, intron 3 of 6)	-20075	NM_001085522	433791		NM_001085522	ENSMUSG00000070605	Zfp992	Gm13251	zinc finger protein 992	protein-coding
1-214	chr13	119616135	119616134	-	0.617283950617284	NA	Intergenic	Intergenic	-7685	NM_020279	56838		NM_020279	ENSMUSG00000074715	Ccl28	CCK1|MEC|Scya28	C-C motif chemokine ligand 28	protein-coding
1-269	chr17	13330838	13330837	+	0.615384615384615	NA	Intergenic	Intergenic	-23735	NM_001167578	100041352		NM_001167578	ENSMUSG00000052469	Tcp10c	D17Leh66C|D17Leh66ca|Gm9880|T66C-a|Tcp-10c	t-complex protein 10c	protein-coding
1-14	chr1	85118415	85118414	+	0.615384615384615	NA	Intergenic	Intergenic	-8561	NM_213615	381287		NM_213615	ENSMUSG00000089844	Sp140l1	A530032D15Rik|Gm1888	Sp140 nuclear body protein like 1	protein-coding
1-455	chr5	14963510	14963509	+	0.615384615384615	NA	intron (NR_001584, intron 2 of 3)	intron (NR_001584, intron 2 of 3)	15390	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-620	chr7	15308506	15308505	-	0.615384615384615	NA	Intergenic	Intergenic	-80346	NM_145708	246792		NM_145708	ENSMUSG00000074369	Obox2	-	oocyte specific homeobox 2	protein-coding
1-738	chrY	90808437	90808436	-	0.608695652173913	NA	intron (NR_137282, intron 2 of 2)	L1_Mm|LINE|L1	22994	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
1-737	chrY	90808436	90808435	+	0.607142857142857	NA	intron (NR_137282, intron 2 of 2)	L1_Mm|LINE|L1	22993	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
1-702	chrX	169979279	169979278	+	0.6	NA	promoter-TSS (NR_029457)	promoter-TSS (NR_029457)	-361	NR_029457	654820		NM_001039559	ENSMUSG00000072844	G530011O06Rik	-	RIKEN cDNA G530011O06 gene	ncRNA
1-441	chr4	147777063	147777062	+	0.6	NA	intron (NM_001127189, intron 3 of 5)	intron (NM_001127189, intron 3 of 5)	32726	NM_001127189	100041677		NM_001127189	ENSMUSG00000078495	Zfp984	Gm13157	zinc finger protein 984	protein-coding
1-290	chr17	67605163	67605162	-	0.6	NA	intron (NR_155516, intron 2 of 2)	LTR48|LTR|ERV1	24170	NR_155516	102640031		NR_155516	ENSMUSG00000117029	Gm36201	-	predicted gene, 36201	ncRNA
1-557	chr5	15709427	15709426	-	0.6	NA	TTS (NM_001281511)	TTS (NM_001281511)	4845	NM_001281511	100502967		NM_001281511	ENSMUSG00000073208	Speer4c1	4933431D05Rik|SPEER-4C|Speer4c	spermatogenesis associated glutamate (E)-rich protein 4C1	protein-coding
1-636	chr7	106271073	106271072	+	0.6	NA	Intergenic	RLTR45|LTR|ERVK	53456	NR_030720	668128		NR_030720		Gvin-ps5	EG668128|Gm21911|Gm8989	GTPase, very large interferon inducible, pseudogene 5	pseudo
1-103	chr10	97944740	97944739	+	0.6	NA	intron (NR_033537, intron 1 of 4)	Lx8|LINE|L1	22351	NR_033537	100038699		NR_033537	ENSMUSG00000074776	Gm10754	-	predicted gene 10754	ncRNA
1-293	chr18	3046846	3046845	-	0.6	NA	Intergenic	IAPEY4_I-int|LTR|ERVK	76567	NM_001167539	100312476		NM_001167539	ENSMUSG00000091539	Vmn1r238	-	vomeronasal 1 receptor, 238	protein-coding
1-659	chr8	20151686	20151685	+	0.6	NA	Intergenic	(CTG)n|Simple_repeat|Simple_repeat	145747	NR_030708	547150		NR_030708	ENSMUSG00000121492	6820431F20Rik	-	cadherin 11 pseudogene	pseudo
1-242	chr16	31290666	31290665	-	0.6	NA	Intergenic	Intergenic	-15388	NM_025800	66849		NM_025800	ENSMUSG00000047714	Ppp1r2	0610025N14Rik|2310007G06Rik|4930440J04Rik|5430408E15Rik|D16Ertd248e|I-2|IPP-2	protein phosphatase 1, regulatory inhibitor subunit 2	protein-coding
1-341	chr3	106232822	106232821	-	0.6	NA	Intergenic	RLTR13D3A1|LTR|ERVK	-13342	NM_145126	104183		NM_145126	ENSMUSG00000063779	Chil4	Chi3l4|Ym2	chitinase-like 4	protein-coding
1-438	chr4	147527294	147527293	+	0.6	NA	Intergenic	Intergenic	19695	NM_001039209	195531		NM_001039209	ENSMUSG00000078496	Zfp982	Gm13152	zinc finger protein 982	protein-coding
1-712	chrX	169987217	169987216	-	0.595238095238095	NA	intron (NM_001290504, intron 8 of 9)	CpG	-8299	NR_029457	654820		NM_001039559	ENSMUSG00000072844	G530011O06Rik	-	RIKEN cDNA G530011O06 gene	ncRNA
1-146	chr12	20233354	20233353	+	0.588235294117647	NA	Intergenic	MMERGLN-int|LTR|ERV1	582426	NR_015521	69513		NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA
1-204	chr13	119596407	119596406	+	0.588235294117647	NA	intron (NM_001370626, intron 2 of 2)	intron (NM_001370626, intron 2 of 2)	-27413	NM_020279	56838		NM_020279	ENSMUSG00000074715	Ccl28	CCK1|MEC|Scya28	C-C motif chemokine ligand 28	protein-coding
1-262	chr17	13215054	13215053	-	0.583333333333333	NA	Intergenic	Intergenic	-6135	NM_013741	27263		NM_013741	ENSMUSG00000073458	Smok2a	Smok2	sperm motility kinase 2A	protein-coding
1-298	chr19	9836770	9836769	+	0.583333333333333	NA	Intergenic	IAPEY4_I-int|LTR|ERVK	-10789	NM_001378410	102639117		NM_001378410	ENSMUSG00000096872	Scgb2a2	100040203	secretoglobin, family 2A, member 2	protein-coding
1-70	chr1	88287857	88287856	+	0.583333333333333	NA	Intergenic	Intergenic	-10277	NM_198652	381280		NM_198652	ENSMUSG00000044783	Hjurp	6430706D22Rik|A730008H23Rik|C330011F01Rik|Gm975|Mfleg1	Holliday junction recognition protein	protein-coding
1-322	chr2	175072881	175072880	+	0.583333333333333	NA	Intergenic	RLTR13C2|LTR|ERVK	-5111	NM_001085546	664987		NM_001085546	ENSMUSG00000078905	Gm14393	-	predicted gene 14393	protein-coding
1-725	chrY	90800758	90800757	-	0.582089552238806	NA	intron (NR_137282, intron 2 of 2)	intron (NR_137282, intron 2 of 2)	15315	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
1-677	chr9	3028886	3028885	+	0.581395348837209	NA	Intergenic	GSAT_MM|Satellite|Satellite	9858	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA
1-48	chr1	88258964	88258963	+	0.580645161290323	NA	3' UTR (NM_198652, exon 8 of 8)	3' UTR (NM_198652, exon 8 of 8)	10445	NR_040291	78605		NR_040291		6430706D22Rik	-	RIKEN cDNA 6430706D22 gene	ncRNA
1-671	chr8	81802408	81802407	-	0.578947368421053	NA	intron (NM_001024617, intron 7 of 24)	intron (NM_001024617, intron 7 of 24)	459845	NM_001024617	234515		NM_001024617	ENSMUSG00000037940	Inpp4b	E130107I17Rik	inositol polyphosphate-4-phosphatase, type II	protein-coding
1-693	chrX	33929857	33929856	-	0.578947368421053	NA	Intergenic	Intergenic	26737	NM_001374720	100040781		NM_001374720	ENSMUSG00000096915	Btbd35f6	Gm2964	BTB domain containing 35, family member 6	protein-coding
1-247	chr16	50994589	50994588	+	0.578947368421053	NA	Intergenic	Intergenic	211179	NR_131006	78639		NR_131005	ENSMUSG00000092276	1700116B05Rik	-	RIKEN cDNA 1700116B05 gene	ncRNA
1-17	chr1	85214722	85214721	+	0.571428571428571	NA	TTS (NM_001081746)	TTS (NM_001081746)	15110	NM_001081746	665378		NM_001081746	ENSMUSG00000079457	Gm7609	EG665378	predicted pseudogene 7609	protein-coding
1-243	chr16	32076878	32076877	+	0.571428571428571	NA	intron (NM_177326, intron 1 of 14)	intron (NM_177326, intron 1 of 14)	2465	NM_177326	224105		NM_177326	ENSMUSG00000022781	Pak2	5330420P17Rik|A130002K10Rik|D16Ertd269e|PAK-2|mKIAA4182	p21 (RAC1) activated kinase 2	protein-coding
1-355	chr4	3253998	3253997	+	0.571428571428571	NA	TTS (NR_166062)	TTS (NR_166062)	22815	NR_166062	108168923		NR_166062		Gm46840	-	predicted gene, 46840	ncRNA
1-482	chr5	15011719	15011718	+	0.571428571428571	NA	Intergenic	L1Md_A|LINE|L1	21289	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-321	chr2	175072034	175072033	-	0.571428571428571	NA	Intergenic	RLTR13C2|LTR|ERVK	-4264	NM_001085546	664987		NM_001085546	ENSMUSG00000078905	Gm14393	-	predicted gene 14393	protein-coding
1-372	chr4	145437184	145437183	+	0.571428571428571	NA	Intergenic	Intergenic	-27027	NR_002888	545700		NR_002888	ENSMUSG00000052912	Smarca5-ps	9230115A19Rik	SWI/SNF related, matrix associated, actin depenent ragulator of chromatin, subfamily a, member 5, pseudogene	pseudo
1-740	chrY	90808838	90808837	+	0.568181818181818	NA	intron (NR_137282, intron 2 of 2)	intron (NR_137282, intron 2 of 2)	23395	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
